,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,0.4130009015401204,0.021955386778990563,0.01133259137471517,0.0009444827822455203,True,1192,,10,0.001,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.001, 'n_estimators': 12}",0.712128837443382,0.7296753083312358,0.7266549207148251,0.7228196888298143,0.007659478348792362,1
18,0.4109983444213867,0.023365000419056408,0.010666529337565104,0.0009421228000833726,True,1192,,10,2,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 12}",0.7214393558127831,0.7236345330984143,0.7201107475459351,0.7217282121523775,0.0014530071446620053,2
1,3.464331944783529,0.05060422581880044,0.06266625722249348,0.0016995189121147877,True,,,10,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7146451937594364,0.7221243392902089,0.727661716586962,0.7214770832122025,0.00533364615454014,3
36,0.4239997863769531,0.03766385442996048,0.014000415802001953,0.0035598623884779347,True,2980,,10,2,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 12}",0.7194262707599396,0.7228794361943116,0.7216209413541405,0.7213088827694639,0.0014269135221374794,4
38,0.4266671339670817,0.009570303696331418,0.012666702270507812,0.00047086484306649637,True,2980,,10,0.001,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7186713638651233,0.7198590485779008,0.724389630002517,0.720973347481847,0.0024638571982452773,5
22,0.42133251825968426,0.007588337960695746,0.011667807896931967,0.0012470226534422783,True,1192,,10,0.005,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7154001006542526,0.721117543418072,0.7246413289705512,0.7203863243476253,0.0038079816346920955,6
37,3.4110007286071777,0.034764724223884,0.06699728965759277,0.00432183789602939,True,2980,,10,2,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7154001006542526,0.7188522527057639,0.7228794361943116,0.7190439298514427,0.003056432574787039,7
0,0.38833149274190265,0.015151575187778807,0.012001911799112955,0.0021614147493911858,True,,,10,2,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 12}",0.7174131857070961,0.7218726403221747,0.7175937578655928,0.7189598612982878,0.0020609646297470156,8
19,3.486335515975952,0.0163563286650045,0.06366531054178874,0.0018862681561555587,True,1192,,10,2,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.712128837443382,0.7213692423861062,0.7228794361943116,0.7187925053412666,0.0047520889248525355,9
41,3.220407009124756,0.02500062681161598,0.06166704495747884,0.0018873935177524505,True,2980,,10,0.005,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7143935581278309,0.7165869619934558,0.7236345330984143,0.7182050177399004,0.00394229061170354,10
21,3.6369964281717935,0.10905946929052629,0.07100478808085124,0.009629461295375504,True,1192,,10,0.001,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.001, 'n_estimators': 100}",0.7143935581278309,0.7180971558016612,0.7213692423861062,0.717953318771866,0.002849626821900575,11
39,3.4117747147878013,0.0422322298387171,0.06304748853047688,0.001664924746464914,True,2980,,10,0.001,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.001, 'n_estimators': 100}",0.7106190236537494,0.7203624465139693,0.7208658444500378,0.7172824382059187,0.004716225361526375,12
5,3.219666083653768,0.027390408655527793,0.05966822306315104,0.0041907630803723695,True,,,10,0.005,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7096124811273277,0.7198590485779008,0.7218726403221747,0.7171147233424677,0.005368200605983612,13
3,3.3436659971872964,0.01725111773999342,0.06233342488606771,0.0034000510490369874,True,,,10,0.001,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.001, 'n_estimators': 100}",0.7106190236537494,0.7193556506418324,0.7196073496098666,0.7165273413018162,0.004179074950709381,14
27,2.85066286722819,0.06993649854636981,0.05800223350524902,0.0021579933740945565,True,1192,,50,0.001,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 100}",0.7176648213387016,0.7196073496098666,0.7118046816008055,0.7163589508497913,0.003316562509111085,15
23,3.3216633796691895,0.011816557084104453,0.06433447202046712,0.0009433029868584363,True,1192,,10,0.005,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7126321087065929,0.7155801661213189,0.7203624465139693,0.7161915737806271,0.0031853723119319236,16
4,0.4013339678446452,0.008217940048605552,0.011663436889648438,0.00047121271384967435,True,,,10,0.005,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7146451937594364,0.7130631764409766,0.7203624465139693,0.7160236055714607,0.0031352671595116072,17
40,0.41032830874125165,0.012551699825662259,0.012334585189819336,0.00047035886966530183,True,2980,,10,0.005,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7108706592853548,0.7095393908884974,0.7223760382582431,0.7142620294773652,0.005763154388483354,18
2,0.4393308162689209,0.004642615726110286,0.012334585189819336,0.0009430812777294495,True,,,10,0.001,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7068444891796678,0.7140699723131135,0.7186005537377297,0.7131716717435036,0.004841244427372694,19
45,2.913609743118286,0.03374309799157263,0.05733466148376465,0.004192781984064208,True,2980,,50,0.001,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 100}",0.7159033719174636,0.7100427888245658,0.7133148754090108,0.7130870120503467,0.002397992192071791,20
6,0.33099881807963055,0.00816583445549763,0.010999600092569986,0.0008161454483046197,True,,,50,2,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 12}",0.7199295420231505,0.7120563805688397,0.7070224012081551,0.7130027746000485,0.005311642385757345,21
46,0.37320399284362793,0.04525267200173915,0.014000892639160156,0.0057146176892513695,True,2980,,50,0.005,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7189229994967288,0.708029197080292,0.7110495846967028,0.7126672604245745,0.00459212288181258,22
43,2.7926342487335205,0.04398935669369745,0.0650041898091634,0.007345698585581372,True,2980,,50,2,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 100}",0.7131353799698037,0.7110495846967028,0.7123080795368739,0.7121643480677934,0.000857566141948856,23
47,2.962000926335653,0.05739107647500815,0.062333106994628906,0.0038592594733333693,True,2980,,50,0.005,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7143935581278309,0.7105461867606343,0.7105461867606343,0.7118286438830332,0.001813668255658447,24
28,0.3439968427022298,0.01557641859345275,0.012000799179077148,0.0014159672922802095,True,1192,,50,0.005,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7164066431806744,0.7118046816008055,0.7070224012081551,0.7117445753298783,0.003831336487663438,25
10,0.32633256912231445,0.015627205741248876,0.011000553766886393,0.0008153693792270042,True,,,50,0.005,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7101157523905385,0.7135665743770451,0.7107978857286685,0.7114934041654174,0.0014921690068560097,26
44,0.3449975649515788,0.00637881140415182,0.01133418083190918,0.0004722133007474379,True,2980,,50,0.001,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7133870156014092,0.7105461867606343,0.7102944877926001,0.7114092300515479,0.001402275496840175,27
42,0.34743134180704754,0.0058144865279863315,0.011030991872151693,0.0014233784502976322,True,2980,,50,2,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 12}",0.7156517362858581,0.7097910898565316,0.7087842939843947,0.7114090400422614,0.0030280646232216514,28
26,0.3289981683095296,0.015747247835940965,0.01166860262552897,0.0009446516855519344,True,1192,,50,0.001,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7136386512330146,0.7123080795368739,0.7072741001761893,0.7110736103153593,0.0027410233165595026,29
25,2.789999564488729,0.08067454771632113,0.061001221338907875,0.003741046360529128,True,1192,,50,2,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 100}",0.7108706592853548,0.7110495846967028,0.7110495846967028,0.7109899428929202,8.434624779384578e-05,30
11,2.759331226348877,0.059128367156988264,0.05500117937723795,0.004545853467250552,True,,,50,0.005,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7108706592853548,0.7120563805688397,0.7092876919204631,0.7107382439248858,0.0011341838706542414,31
9,2.7523346741994223,0.06269606442029375,0.05766582489013672,0.0016968848069318955,True,,,50,0.001,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 100}",0.7128837443381983,0.7107978857286685,0.7082808960483262,0.7106541753717309,0.0018818506130779883,32
8,0.3340009053548177,0.004898916807982307,0.011332511901855469,0.00047120225894440053,True,,,50,0.001,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7128837443381983,0.7100427888245658,0.7070224012081551,0.7099829781236396,0.0023932570292365617,33
24,0.42333269119262695,0.04166867058925123,0.015000263849894205,0.0029446518305703017,True,1192,,50,2,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 12}",0.7106190236537494,0.7123080795368739,0.7057639063679839,0.709563669852869,0.0027739117205226455,34
29,2.7636645634969077,0.03351985165313235,0.05600198109944662,0.006533251343523226,True,1192,,50,0.005,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 0.005, 'n_estimators': 100}",0.7113739305485657,0.7110495846967028,0.7052605084319155,0.7092280078923947,0.0028085689160830757,35
7,2.720996618270874,0.020700367236114393,0.059334357579549156,0.003771019127512574,True,,,50,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 50, 'min_samples_split': 2, 'n_estimators': 100}",0.7091092098641167,0.7100427888245658,0.7072741001761893,0.7088086996216241,0.0011501127516594704,36
14,0.30433233578999835,0.005791934657112622,0.009332418441772461,0.0018861559252911582,True,,,100,0.001,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 12}",0.6977856064418722,0.6964510445507174,0.6959476466146489,0.6967280992024127,0.0007754970628103309,37
50,0.3193352222442627,0.005251350610784307,0.01233347256978353,0.0012485130663237455,True,2980,,100,0.001,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 12}",0.70231504781077,0.6894034734457589,0.6946891517744778,0.695469224343669,0.005299910254316035,38
52,0.30500006675720215,0.004898040453774403,0.012001911799112955,0.0008184832693168034,True,2980,,100,0.005,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7003019627579266,0.6924238610621697,0.6914170651900328,0.6947142963367097,0.0039723982267755266,39
15,2.5283315181732178,0.023040170249215508,0.0476693312327067,0.0020549524420971684,True,,,100,0.001,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 100}",0.6982888777050831,0.6941857538384093,0.6853762899572112,0.6926169738335678,0.005386992581785331,40
34,0.3236655394236247,0.008994663721963161,0.011668205261230469,0.0004725548861661144,True,1192,,100,0.005,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 12}",0.7018117765475591,0.6863830858293481,0.6886483765416562,0.6922810796395211,0.006802378170781175,41
32,0.30066482226053876,0.024555863550253465,0.011333942413330078,0.0004706992648028116,True,1192,,100,0.001,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 12}",0.7038248616004026,0.6881449786055878,0.6846211930531085,0.6921970110863663,0.008347033278858058,42
51,2.4460023244222007,0.024536414025773452,0.05400268236796061,0.0037425119803394438,True,2980,,100,0.001,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 100}",0.6960241570206341,0.6926755600302039,0.6876415806695193,0.6921137659067859,0.0034451517671841188,43
16,0.34833256403605145,0.059918583883464764,0.012000004450480143,0.0021573322340993355,True,,,100,0.005,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 12}",0.696527428283845,0.6894034734457589,0.6899068713818274,0.6919459243704771,0.0032461244535253947,44
17,2.394662857055664,0.01720990702569637,0.05133406321207682,0.00367936880835132,True,,,100,0.005,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 100}",0.696527428283845,0.6941857538384093,0.6843694940850743,0.6916942254024429,0.005266853991763412,45
49,2.5609988371531167,0.014235385152784736,0.05366873741149902,0.002868065451415508,True,2980,,100,2,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.6972823351786613,0.6954442486785805,0.6813491064686634,0.6913585634419684,0.007117422856192528,46
53,2.5896665255228677,0.07211426911061351,0.04400173823038737,0.002826761360174106,True,2980,,100,0.005,100,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 100}",0.6980372420734776,0.6906619682859301,0.6853762899572112,0.6913585001055397,0.005192224607005752,47
48,0.3163313070933024,0.022530766165163762,0.011333306630452475,0.0017000954923757122,True,2980,,100,2,12,"{'bootstrap': True, 'max_depth': 2980, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 12}",0.6937594363361852,0.6881449786055878,0.6919204631261012,0.6912749593559581,0.0023370979497542243,48
31,2.605334917704264,0.1373483875436967,0.05699912707010905,0.008641244387219858,True,1192,,100,2,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.6980372420734776,0.6906619682859301,0.6846211930531085,0.6911068011375053,0.0054861036585550724,49
13,2.372330824534098,0.0548233058027804,0.051332314809163414,0.005435767231323807,True,,,100,2,100,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 100}",0.6955208857574232,0.6899068713818274,0.6861313868613139,0.6905197146668548,0.0038576638050346695,50
35,2.8159982363382974,0.03441540482202527,0.05366667111714681,0.0016983032112018283,True,1192,,100,0.005,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.005, 'n_estimators': 100}",0.6947659788626069,0.6939340548703751,0.6823559023408005,0.6903519786912607,0.00566427118783499,51
12,0.3039991060892741,0.01574519890391469,0.009999990463256836,0.0008168273640935156,True,,,100,2,12,"{'bootstrap': True, 'max_depth': None, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 12}",0.6947659788626069,0.6810974075006292,0.6934306569343066,0.6897646810991809,0.0061528852249528,52
33,2.827333927154541,0.10008695320572404,0.09966794649759929,0.06143893177214501,True,1192,,100,0.001,100,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 0.001, 'n_estimators': 100}",0.6980372420734776,0.6889000755096905,0.6805940095645607,0.6891771090492429,0.007123863688409609,53
30,0.30300045013427734,0.005715840644023494,0.012331883112589518,0.0012487430267649408,True,1192,,100,2,12,"{'bootstrap': True, 'max_depth': 1192, 'max_features': None, 'min_samples_leaf': 100, 'min_samples_split': 2, 'n_estimators': 12}",0.6937594363361852,0.6861313868613139,0.6863830858293481,0.6887579696756158,0.00353806346845447,54
